VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,crash_count,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2007.0,P MVR,KENWTH,82,6.0,6.0,2.0,9213.707317073171,1.0609756097560976
2010.0,P MVR,KENWTH,79,6.253164556962025,6.0,2.0,9210.468354430379,1.0
2012.0,P MVR,KENWTH,67,6.17910447761194,6.059701492537314,2.08955223880597,9685.835820895523,1.0149253731343284
2008.0,P MVR,KENWTH,64,6.25,6.0,2.0625,9325.671875,1.03125
2014.0,P MVR,KENWTH,60,6.1,5.966666666666667,2.05,11127.916666666666,1.0
2013.0,P MVR,KENWTH,59,6.135593220338983,5.966101694915254,2.016949152542373,9407.661016949152,1.0
2004.0,P MVR,KENWTH,58,6.0,6.0,2.0172413793103448,9113.189655172413,1.0517241379310345
2003.0,P MVR,KENWTH,46,6.086956521739131,6.0,2.152173913043478,9001.195652173914,1.0434782608695652
2005.0,P MVR,KENWTH,46,6.0,6.0,2.0,9060.282608695652,1.0434782608695652
2017.0,P MVR,KENWTH,45,6.0,6.0,2.022222222222222,9667.155555555555,1.0444444444444445
